benchmark,serialization,finished,execution_time,remote_read,local_read,transfer_time,cpu_time,deserializaion_time,serialization_time,task_time
matrixmul_64kx64k_4kx4k,syncwdeser,1227.931739,1227.931739,807051198464,292460429312,857028.0367,43407.50821,1722.712712,3798.615106,90187.92765
matrixmul_64kx64k_4kx4k,syncnodeser,1225.532047,1225.532047,807051198464,292460429312,857818.9494,43407.50821,1264.486272,3798.615106,90297.5147
matrixmul_64kx64k_4kx4k,lazy,1125.855576,1125.855576,807051198464,292460429312,902012.8112,43407.50821,1264.486272,0,87073.57377
matrixmul_10kx10k_1kx1k,syncwdeser,13.76606375,13.76606375,11584000000,4416000000,7595.203913,105.2501805,13.76675903,71.34820901,772.2959532
matrixmul_10kx10k_1kx1k,syncnodeser,13.7660876,13.7660876,11584000000,4416000000,7585.832313,105.2501805,9.967133541,71.34820901,772.3649746
matrixmul_10kx10k_1kx1k,lazy,12.92879965,12.92879965,11424000000,4576000000,7218.639517,103.7180645,9.829465951,0,644.1896174
tree_reduction_16k,syncwdeser,0.3952683451,0.3952683451,173124,285572,0.0436622291,21.89793491,0.00002732976244,0.005237997373,21.9468488
tree_reduction_16k,syncnodeser,0.3646267053,0.3646267053,173124,285572,0.04369542156,21.89793491,1.03E-05,0.005237997373,21.94687865
tree_reduction_16k,lazy,0.3659271277,0.3659271277,173124,285572,0.04353799605,21.89793491,0.00001031497504,0,21.94148322
tree_reduction_1k,syncwdeser,0.09050610977,0.09050610977,10780,17836,0.002728487397,2.517310619,0.000001704982127,0.0003270750969,2.520367034
tree_reduction_1k,syncnodeser,0.09061998801,0.09061998801,10780,17836,0.002726909459,2.517310619,6.42E-07,0.0003270750969,2.520365246
tree_reduction_1k,lazy,0.09054859908,0.09054859908,10780,17836,0.002728144695,2.517310619,0.0000006422877878,0,2.520039406
tall_skinny_400kx20k_20kx20k,syncwdeser,12522.99435,12522.99435,41600000000,96000000000,1869.199816,43954.25403,423.0294319,6606.382408,50983.66587
tall_skinny_400kx20k_20kx20k,syncnodeser,12433.85102,12433.85102,41600000000,96000000000,1015.311124,43954.25403,127.892619,6606.382408,50707.60255
tall_skinny_400kx20k_20kx20k,lazy,11647.54554,11647.54554,41600000000,96000000000,2390.088482,43954.25403,127.892619,0,44215.78492
tall_skinny_2Mx4k_4kx4k,syncwdeser,748.9931895,748.9931895,9472000000,22656000000,260.3209468,46845.50315,49.83316015,1184.392585,48162.26593
tall_skinny_2Mx4k_4kx4k,syncnodeser,747.8019572,747.8019572,9472000000,22656000000,253.9672619,46845.50315,14.69184801,1184.392585,48137.05139
tall_skinny_2Mx4k_4kx4k,lazy,705.7581291,705.7581291,9472000000,22656000000,388.6390432,46845.50315,14.69184801,0,47031.6074
svm_parallelization_800k_40k,syncwdeser,106.5712642,106.5712642,0,800000000,0,1964.972025,0.9690817648,53.76872759,2019.709835
svm_parallelization_800k_40k,syncnodeser,106.5228117,106.5228117,0,800000000,0,1964.972025,0,53.76872759,2018.740753
svm_parallelization_800k_40k,lazy,103.8343757,103.8343757,0,800000000,0,1964.972025,0,0,1964.972025
svm_parallelization_80k_40k,syncwdeser,16.49993593,16.49993593,0,80000000,0,249.7860336,0.05940472132,4.511941738,254.3573801
svm_parallelization_80k_40k,syncnodeser,16.49696889,16.49696889,0,80000000,0,249.7860336,0,4.511941738,254.2979754
svm_parallelization_80k_40k,lazy,16.27137194,16.27137194,0,80000000,0,249.7860336,0,0,249.7860336
